id,entities,clean_text
1,LOC/Thai Buddhist temple;,"2,000 fetuses found hidden at Thai Buddhist temple via"
2,LOC/canada;,"870, 000 people in canada depend on -25% increase in the last 2 years - please give generously"
3,PER/louis;,"7961212234, phone this girl! she is like louis biggest fan! < 3 live on"
4,ORG/WikiLeaks;LOC/Southern Ocean;,WikiLeaks Set To Reveal US-UFO War In Southern Ocean ) I'm a huge fan of bt this is wrong
5,ORG/queen;,"queen, bohemian rhapsody please"
6,PER/cheryl cole;PER/Danni;PER/eddie;,cheryl cole is starting to lose that connection with me! But Danni has maintained the steady eddie feel to me!!? What you think?
7,ORG/Lester;MISC/Mason & Begg Limited;,"Lester, "" Mason & Begg Limited "" "" 'Forbidden Fruit' calls on all of us to examine the long history of censoring ideas "" "" """
8,PER/Thomas Watson;,"To be successful, you have to have your heart in your business, and your business in your heart . Thomas Watson, Sr."
9,"PER/Sanchez;PER/Eli Wallach;MISC/The Good, The Bad and the Ugly;","Sanchez looks like Eli Wallach in The Good, The Bad and the Ugly with that facial scruff ."
10,,"the history of the mayor, the city ."
11,MISC/Entertainment Tonight;ORG/Yahoo! News;,'Entertainment Tonight' creator dies at 80 - Yahoo! News
12,PER/Julian Assange;,'The truth will always win' - Julian Assange writes
13,MISC/The Day After;LOC/Broadway & 4th Street;,"The Day After in (Broadway & 4th Street) (via ) """
14,,"No equal pay for women, no unemployment benefits, no repeal of DADT, No, No, No SS, no medicare """
15,LOC/Beirut;,"The beautiful empty streets of Beirut \* sigh \* "" (= = panoramic view;)"
16,LOC/Iran;,Iran sets February trial date for 3 Americans - AP
17,PER/Sarkozy;LOC/Iran;,"Sarkozy says shield intended to protect against Iran """
18,LOC/New Orleans;LOC/NEW ORLEANS;,"RT New Orleans residents warned to boil water NEW ORLEANS, Nov. 20 (UPI) (cont)"
19,ORG/Twitter;,_ RT Twanking (vb .) The act of pleasuring oneself via the medium of Twitter _
20,ORG/Labour Party;,_ Whilst 99% of the Labour Party are to the left of me unless the membership is infinite you (cont)
21,MISC/Olympics;,_ Two million sign up for Olympics
22,LOC/Australia;,_ Australia protesters sew up lips
23,PER/Banksy;MISC/Oscar;,_ Banksy film makes Oscar longlist
24,LOC/Beijing;MISC/2015 World Champs;,_ Beijing to host 2015 World Champs
25,LOC/Namibia;,_ Namibia alert was 'security test'
26,LOC/South Island;LOC/New Zealand;ORG/Reuters;,"_ Blast in South Island, New Zealand, coal mine leaves 30 miners unaccounted for - Reuters"
27,MISC/Nobel Peace Prize;LOC/China;PER/Liu Xiaobo;,_ Nobel Peace Prize may not be handed out with no one from China dissident Liu Xiaobo's family (cont)
28,,"_ In case you missed this week's crappy emails, you can find them all (84!) (cont)"
29,ORG/Twitter;,_ The Daily is out - read this Twitter newspaper on (688 contributions today)
30,ORG/Home Office;,_ Power _ The Home Office have finally asked for Your opinion on the Extradition Act 2003 (cont)
31,ORG/Republican Party;LOC/America;,_ The Republican Party is the cancer to America's Progress! _
32,PER/Banksy;MISC/Oscar;,_ Banksy in line for Oscar nomination
33,ORG/NHS;,_ Doctors warned to expect unrest over NHS reforms
34,LOC/China;,_ Capabilities and Implications of China? s Jiaolong Submersible
35,ORG/Twitter;,_ The Daily is out - read this Twitter newspaper on (50 contributions today)
36,,"_ Ugh gym was hard this morning lol no pain no gain I guess you are better than me, i went from the bed to the couch this AM"
37,LOC/GB;LOC/Chicago;,_ Who's winning the GB / Chicago game? still tied at 0
38,ORG/Médecins Sans Frontières;,"Médecins Sans Frontières has treated over 12,000 people for suspected"
39,PER/Aung Suu Kyi;LOC/Burma;,_ Aung Suu Kyi calls for release of Burma's ethnic leaders _
40,LOC/London;MISC/Afghan war;,_ Protesters in London march against Afghan war
41,LOC/Detroit;,_ Old Detroit has a cancer . That cancer is crime .
42,,_ Busted knee at the gym F & % \* otra vez???
43,ORG/CNN;,_ Three weeks until my new CNN show launches . And just booked two HUGE stars for first week ... / Fat Blokes?
44,,_ BREAKING suspends for campaign donations
45,ORG/EDL;LOC/Wolverhampton;,_ EDL presence in Wolverhampton apparently 50 + protestors shouting obscene remarks . No place for the kiddies or lone women .
46,LOC/Haiti;,_ Analysis Whodunnit? Officials have sticky problem in Haiti
47,LOC/North Korea;LOC/U.S.;,"_ FLASH North Korea told U.S. nuclear team it had 2,000 working centrifuges source"
48,ORG/Groupon;ORG/Google;,_ Groupon considers sale to Google report
49,ORG/Merck;,_ Merck's Vytorin cuts heart attack risk in kidney patients
50,PER/Obama;PER/Medvedev;ORG/Senate;,"_ Obama, Medvedev urge Senate to ratify START"
51,ORG/GOP;MISC/American;,_ The GOP is a pledge to continue exporting American jobs _
52,ORG/GOP;,_ The GOP is a pledge to deny equal constitutional rights to people _
53,LOC/Russia;,_ Greetings from Russia! We love !!! (= = = welcome from !!!
54,LOC/Abergavenny;LOC/south Wales;,"_ A woman has been arrested on suspicion of murder after the death of an 11-month-old baby girl in Abergavenny, south Wales"
55,,_ I'm tried of the fuckn saints commercials . Smh that was last year!!! Come up wit new ones !!!
56,LOC/Afghan;LOC/Arizona;,_ Afghan Hero Accidentally Euthanized ... Arizona animal control put down the wrong dog (cont)
57,ORG/GOP;PER/Murkowski;,"_ GOP Senators Hint at Repeal ... Ensign, Murkowski appear ready to let gays serve (cont)"
58,LOC/Ireland;LOC/Emerald isle;,"_ Ireland's economic woes Tiger, tiger, burning dull - Emerald isle in the red"
59,LOC/WELLINGTON;LOC/New Zealand;ORG/AP;LOC/New Zealand;,"_ WELLINGTON, New Zealand (AP) Rescuers to drill hole at New Zealand coal mine"
60,LOC/Damascus;,"_ Damascus Iraqi Refugee Urged to Trade Sex for Food, Cash _"
61,ORG/Wired;,"_ Just in time for Thanksgiving, Wired's How-to for Roasting the Perfect Turkey"
62,LOC/East Coast;,"_ Storm Wreaks Havoc on Travel A potent winter storm barreled up the East Coast, snarling air traffic, "" slowin ... "" "" """
63,ORG/China;,_ China Tightens Bank-Credit Rule
64,LOC/Northern Mexico;,_ Northern Mexico's State of Anarchy
65,ORG/Tea Party;PER/Boehner;ORG/Tea Party;,_ Hats Off to the Tea Party Boehner s Home State Tea Party Slams His Secret Plot To Kill (cont)
66,ORG/NSA;,"Active Distributed Traffic Capture Systems 100 lines of 10GbE traffic, tech lagging technology, What does NSA use, G"
67,ORG/EAGLES;LOC/Bangkok;,EAGLES Live In Bangkok 2011
68,,_ mi place - - Inside Of You
69,,Mysteries of the deep sea
70,ORG/Google;ORG/Groupon;,What a Google/Groupon deal means for newspapers! via
71,LOC/west coast;,dude is a 100% product of the west coast .
72,PER/Lady Gaga;LOC/Helsinki;,Lady Gaga - 'Speechless' live @ Helsinki 10/13/2010 also talks about her Grampa who died recently
73,PER/Lady Gaga;LOC/Helsinki;,Lady Gaga - Speechless live @ Helsinki 10/13/2010 talks about her Grampa who died recently
74,PER/Aretha Franklin;,(Aretha Franklin Has Pancreatic Cancer
75,PER/Lady Gaga;,"x RT for some reason, Lady Gaga's webcam followers want that shiny disco ball from me now"
76,ORG/McDonald's;,!!! RT 2 McDonald's Apple Pies for the extra low price of 1 smack-a-roo is a f \* ckin STEAL!!!!! Name a better bargain???
77,PER/Cai Chun Jia;,??? -???? - Cai Chun Jia - ah to be happy
78,PER/Fish Leong;,??? -????? Fish Leong - I was happy
79,ORG/YouTube;,?????????????????????????? post???????????? (YouTube
80,LOC/St. Georges Mill;,?????????????????????????????????? (@ St. Georges Mill)
81,LOC/London eyes;,???????????????????????? London eyes????????????????????????????????????????????????????????????????
82,ORG/YouTube;,?????????????????????????????? post??????????????? (YouTube
83,ORG/Department of Health;,???????????????????????????????????????????????? Department of Health??????????????????? media and public concern
84,ORG/NHS;ORG/National Health Service;,???????????????????????? GP??????????????????????????? NHS (National Health Service)???
85,,?? INSIDER?? Get 5% OFF Nitro Planes Use this link!
86,,RT My mother is the greatest .?
87,,? Somehow you can tell the difference when a song is written just to get on the radio and when what someone d. . .
88,PER/Clark Cable;,never watched any Clark Cable movies
89,PER/superman;LOC/Newark;,"is like superman over there in Newark . Plowing snow, moving cars, and helping peeps ."
90,ORG/Circle K;,is so happy to be getting coffee here (@ Circle K)
91,,""" . "" ""doubt is a wish turned inside out "" "" """
92,,damn that socialist Muslim President!!!!!!
93,MISC/Rocky V;,I'm watching Rocky V. Classic movies
94,MISC/PSYCH;MISC/THE WHOLE TRUTH;,"RT PSYCH - Dec 8th (I'm told) THE WHOLE TRUTH - no air date yet, when I hear I 'll announce ."
95,PER/Scott Speedman;,so a sequel?! Yes! Are & Scott Speedman in it?
96,PER/Tony Russo;,segment Tony Russo/eyewear company story & online shopping . Beware of his company!
97,LOC/dallas;,i was in minn for the world wheelchair basketball championships . . the coach of the texas team and drove all the way from dallas to minn
98,ORG/Twitter;,And when someone just wanted to feel and think God is not on Twitter then u are lying . He just saw my tweet . and he will DM me now .
99,LOC/new england;,lets doo this new england!!
100,PER/Anais;PER/Gallagher;PER/Meg Mathews;PER/Mathews;,"Anais ,10, is Gallagher's daughter with his ex-wife Meg Mathews ,44, and Mathews said the little girl is already into her music ..."
101,PER/Sara MacDonald;,"Asked if she gets on well with her ex-hubby, she said 'Really well . I get on with his partner Sara MacDonald, too ..."
102,PER/binny;LOC/yemen;PER/binny;PER/bin laden;,i'm tellin ya ... ol' binny is in yemen!! binny being bin laden!!
103,LOC/UK;ORG/Rage Against The Machine;,She said to UK's Fabulous magazine 'She's learning guitar and recently came home playing Rage Against The Machine .' ...
104,LOC/Manchester;,too come from Manchester? .
105,PER/Tiger;PER/Tony Parker;,And the first Tiger joke begins ... RT Can you call Tony Parker he needs you expertise right now
106,,And the No. 1 Reason to LOVE This Week Is ... via
107,ORG/HTC;,I fancy a HTC instead! .
108,PER/Clint;,now obviously i was angry over it so what shall i do I would ask Clint for his help but he's busy and he's helped me enuff! .
109,PER/Clint;,now obviously i was angry over it so what shall i do I would ask Clint for his help but he's busy and he's helped me put enuff! .
110,LOC/england;MISC/the world cup;,so here is some videos from famous celebrities telling everyone why they think england should host the world cup in 2018 ...
111,PER/B.C.;PER/B.C.;,"tell B.C., he is a genius!! P RT Bucktooth Boobie by B.C."
112,LOC/MINN;,. lots of firsts for me when i went to MINN. first time i had ever seen a car seatbelt intergated into the frame around the window . . freaked
113,PER/Bill Donohue;ORG/Smithsonian;,""" "" ""Bill Donohue is on a roll . "" "" "" ""Smithsonian "" "" """
114,ORG/Twitter;,""" 'Top 10 "" "" Twitter Stats & Analytics Tools! (via ) """
115,,6) (6) This post has been generated by Page2RSS
116,ORG/Asymmetric Warfare Group;,U / / FOUO) Asymmetric Warfare Group Attack The Network Counterinsurgency Methodology
117,LOC/United Kingdom;,"4) In 2009 it was the ninth busiest airport in the United Kingdom, handling 5,642,921 passengers, a 10"
118,LOC/New York;,"ISN) Hackers hit New York tour firm, access 110,00 bank cards Credit reporting Agencys tell NO on w/o fee"
119,LOC/Oklahoma;LOC/Texas;,Oklahoma but raised in Texas .
120,PER/nicole;LOC/malaysia;LOC/malaysia;,nicole! come to malaysia . . really wanna see you and the girls live here in malaysia
121,LOC/auckland;,that is good . here in auckland is cloud and dark . hope you have a great day!
122,PER/Chris Hanson;,Chris Hanson ... the world's biggest cock blocker
123,,Always a pleasure sweetie - sending fondest wishes for a GREAT weekend x
124,PER/Sue;,Thanks so much Sue x
125,ORG/YouTube;,"I love the minecraft videos to, but stop asking him to do them! He mu ... (YouTube"
126,,Connecting to backup power in 10 ... 9 ... 8 ... 7 ... 6 ... .5 ... . .4 ... 2 ... 1 . Backup engaged . Tweet more .
127,LOC/Berlin;MISC/1st Berliner Frauenkrimifestival;MISC/Lesemarathon;,"Great! This Sunday, in Berlin it will be the 1st Berliner Frauenkrimifestival + Lesemarathon . Will you be there?"
128,,Have a creative time! Good vibes from !
129,PER/Baba Iyabo;,Long live Baba Iyabo .
130,ORG/Bankole and co.; ORG/cooks and co;,"Who exactly are protesting? Bankole and co. or the cleaners, cooks and co?"
131,,WE HAVE 79 SIGNATURES GETTING THERE!
132,LOC/Odaiba;,especially that the land under is reclaimed ... it will dissolve instantly if the big one hit Odaiba
133,PER/Albert Alletzhauser;,"I highly recommend you this book called "" ""Quake "" "" by Albert Alletzhauser "", who wrote the House of Nomura"
134,PER/Stan;LOC/New England;,"You 're Welcome, Stan! - I love the name of your company! I grew up in a small town north of - I love New England! :)"
135,LOC/Montreal;,O lucky! Closest she came to here was Montreal (.
136,LOC/MB;,I hope so . I would pay anything to go to MB and all my money on what I can buy inside lol .
137,PER/Rev Run;,cuz that's the way it is \* Rev Run voice \*
138,PER/Ms. Sherrie Murphey;,"Ms. Sherrie Murphey, you 've answered by yourself to your questions to me confirmed ."
139,PER/Ms. Sherrie Murphey;,"# $ 160BN CopyRight Ms. Sherrie Murphey, include commercial industry"
140,LOC/UK;PER/Lowcock;ORG/Aid Preachers;,Murderus HRcrimes of UK gov Lowcock Stigma on Aid Preachers
141,PER/Palin;MISC/American Idol;ORG/AP;PER/Sarah Palin;,U destroyed for this ) Palin Rips American Idol AP got an advance copy of Sarah Palin's new book ...
142,,Your of grocery link has errors please check & fix it then resend thanks
143,MISC/What Would You Do?;,"'s "" ""What Would You Do? "" "" is the worst sort of psychological experiment . DO NOT manipulate and frighten people . DO NOT model bad behavior . """
144,PER/MURDOCH;PER/Romney;ORG/GOP;,MURDOCH not NEWS! MUST END as such! / / Help Romney in this FOX News GOP Poll
145,PER/nicki minaj;,nicki minaj
146,LOC/US;,Thank you but just an ordinary gal . WE/US working together - l will . Because we can .
147,,YO VATO IN MY AIM TO B MORE 4GIVING-I 4GIVE U 4 THAT LINE-MAY ALL YOUR HOLIDAY GUESTS B WHITE LINE-STILL CRASHIN UR PARTY LOCO!
148,,It's one of my favs too . Merry Christmas to you darling xxx
149,,then on the right side of the page click on player skin
150,LOC/US;PER/Israelis;,"nor anything about stuxnet, or sooper secret malware, rootkits? Thought US might have said something to Israelis G"
151,,"Yes like the Jews, Poles, Catholics and Blacks, yellow people Oozed in, do you hear your self? G"
152,,Bada boom bada bing .
153,LOC/Hawaii;,have a great time in Hawaii . 1 of the few states I have left to visit
154,,Excited to see and read the happenings of today Coach! Hope all is well!
155,LOC/Kern County;,"Ah, mudslides! My son had to deal with floods in Kern County! He's a firefighter ."
156,ORG/Marine Corps;,I agree! Kicking the youngsters booty is cool . I did that last year taking the Marine Corps PFT . 297 out of a 300 pts .
157,MISC/Olympics;MISC/MMA;,That is so right! I'm training for the Senior Olympics (100 meter dash) & MMA .
